iter	Passed	Remaining
0	86	43033
1	171	42755
2	244	40438
3	317	39365
4	398	39438
5	475	39119
6	555	39141
7	633	38965
8	707	38601
9	784	38444
10	862	38335
11	933	37951
12	1009	37825
13	1081	37550
14	1154	37344
15	1229	37205
16	1305	37085
17	1379	36931
18	1451	36758
19	1530	36740
20	1602	36562
21	1677	36455
22	1751	36323
23	1825	36203
24	1898	36072
25	1975	36009
26	2044	35820
27	2119	35732
28	2196	35678
29	2278	35697
30	2354	35624
31	2431	35555
32	2506	35472
33	2581	35387
34	2658	35324
35	2732	35221
36	2809	35155
37	2884	35066
38	2957	34963
39	3036	34920
40	3120	34934
41	3202	34921
42	3278	34842
43	3355	34773
44	3431	34695
45	3504	34584
46	3579	34499
47	3656	34429
48	3732	34349
49	3809	34284
50	3883	34191
51	3960	34121
52	4040	34077
53	4115	33993
54	4191	33913
55	4270	33862
56	4352	33827
57	4436	33811
58	4524	33820
59	4604	33765
60	4683	33704
61	4758	33618
62	4835	33544
63	4913	33470
64	4991	33404
65	5067	33320
66	5142	33236
67	5218	33150
68	5294	33070
69	5372	33005
70	5450	32932
71	5526	32852
72	5600	32761
73	5676	32680
74	5752	32597
75	5827	32510
76	5904	32439
77	5974	32324
78	6055	32268
79	6151	32297
80	6247	32316
81	6343	32337
82	6436	32336
83	6528	32333
84	6622	32332
85	6716	32331
86	6794	32253
87	6864	32137
88	6939	32044
89	7014	31955
90	7092	31878
91	7170	31801
92	7245	31708
93	7323	31629
94	7401	31553
95	7475	31459
96	7551	31372
97	7622	31266
98	7700	31189
99	7774	31099
100	7852	31023
101	7934	30958
102	8018	30906
103	8102	30851
104	8191	30814
105	8299	30847
106	8389	30814
107	8468	30738
108	8545	30655
109	8628	30590
110	8705	30510
111	8788	30447
112	8901	30485
113	8993	30450
114	9087	30423
115	9171	30361
116	9253	30291
117	9330	30204
118	9410	30129
119	9491	30054
120	9582	30013
121	9695	30041
122	9810	30069
123	9907	30042
124	10017	30051
125	10111	30012
126	10198	29952
127	10305	29949
128	10396	29899
129	10493	29865
130	10589	29827
131	10674	29759
132	10763	29700
133	10864	29675
134	10945	29593
135	11035	29536
136	11130	29491
137	11241	29489
138	11328	29422
139	11416	29356
140	11507	29298
141	11594	29230
142	11687	29179
143	11777	29117
144	11873	29070
145	11956	28990
146	12039	28911
147	12124	28837
148	12215	28775
149	12300	28700
150	12380	28614
151	12474	28559
152	12564	28494
153	12639	28398
154	12716	28305
155	12798	28222
156	12885	28151
157	12978	28093
158	13059	28008
159	13136	27915
160	13215	27826
161	13296	27742
162	13381	27667
163	13470	27597
164	13543	27497
165	13620	27405
166	13698	27315
167	13779	27230
168	13859	27144
169	13937	27054
170	14023	26981
171	14105	26898
172	14184	26811
173	14272	26739
174	14357	26664
175	14440	26582
176	14518	26493
177	14600	26411
178	14678	26322
179	14761	26243
180	14846	26165
181	14926	26079
182	15013	26007
183	15111	25952
184	15205	25890
185	15304	25837
186	15391	25762
187	15472	25678
188	15559	25603
189	15642	25522
190	15720	25432
191	15799	25345
192	15888	25273
