NN	время	маркер
1	0:03:11	swd1
2	0:03:14	swd2
3	0:04:31	swd1
4	0:04:33	swd2
5	0:06:06	swd1
6	0:06:11	swd2
7	0:06:15	swd1
8	0:06:19	swd2
9	0:18:57	swd1
10	0:18:59	swd2
11	1:29:40	swd1
12	1:29:43	swd2
13	1:35:08	swd1
14	1:35:12	swd2
15	1:37:05	swd1
16	1:37:09	swd2
17	1:39:10	swd1
18	1:39:14	swd2
19	3:33:03	ds1
20	3:42:58	ds2
21	3:44:04	ds1
22	3:56:46	ds2
23	3:57:46	ds1
24	4:02:07	ds2
25	4:33:02	ds1
26	4:37:26	ds2
27	4:38:13	ds1
28	4:44:38	ds2
29	4:55:02	ds1
30	4:56:38	ds2
31	4:57:52	ds1
32	5:02:00	ds2
33	5:03:05	ds1
34	5:07:12	ds2
35	5:08:37	ds1
36	5:21:12	ds2
37	5:27:18	ds1
38	5:31:50	ds2
39	5:32:51	ds1
40	5:44:52	ds2
41	5:45:19	ds1
42	5:47:26	ds2
43	5:48:02	ds1
44	5:50:11	ds2
45	5:51:50	ds1
46	5:59:41	ds2
