NN	время	маркер
1	0:03:36	ds1
2	0:04:46	ds2
3	0:05:15	ds1
4	0:08:20	ds2
5	0:08:27	is1
6	0:08:37	is2
7	0:09:09	ds1
8	0:10:50	ds2
9	0:40:55	ds1
10	0:41:57	ds2
11	0:42:40	ds1
12	0:43:21	ds2
13	0:43:37	ds1
14	0:46:08	ds2
15	0:46:13	is1
16	0:46:25	is2
17	0:47:15	ds1
18	0:48:27	ds2
19	0:50:39	ds1
20	0:52:31	ds2
21	1:35:40	ds1
22	1:39:05	ds2
23	1:42:45	ds1
24	1:52:26	ds2
25	1:52:29	is1
26	1:52:44	is2
27	1:53:30	ds1
28	1:53:59	ds2
29	1:54:48	ds1
30	1:55:18	ds2
31	1:56:14	ds1
32	1:59:48	ds2
33	1:59:50	is1
34	2:00:00	is2
35	2:00:25	ds1
36	2:00:38	ds2
37	2:31:31	ds1
38	2:32:16	ds2
39	2:32:55	ds1
40	2:33:24	ds2
41	2:35:15	ds1
42	2:35:49	ds2
43	2:36:46	ds1
44	2:39:04	ds2
45	3:17:29	ds1
46	3:18:42	ds2
47	3:43:15	ds1
48	3:44:28	ds2
49	3:48:38	ds1
50	3:50:58	ds2
51	3:55:10	ds1
52	4:03:08	ds2
53	4:06:59	ds1
54	4:09:24	ds2
55	4:32:26	ds1
56	4:36:43	ds2
57	5:26:24	ds1
58	5:37:05	ds2
59	5:37:08	is1
60	5:37:20	is2
61	5:37:49	ds1
62	5:41:36	ds2
63	5:41:40	is1
64	5:41:51	is2
65	5:42:48	ds1
66	5:46:09	ds2
67	5:49:01	ds1
68	5:53:34	ds2
69	5:57:36	ds1
70	5:59:14	ds2
