NN	время	маркер
1	0:15:27	swd1
2	0:15:33	swd2
3	0:16:55	swd1
4	0:17:04	swd2
5	0:22:52	swd1
6	0:22:58	swd2
7	0:27:16	swd1
8	0:27:20	swd2
9	0:37:06	swd1
10	0:37:12	swd2
11	0:38:18	swd1
12	0:38:25	swd2
13	0:40:40	swd1
14	0:40:46	swd2
15	0:41:48	ds1
16	0:43:34	ds2
17	0:45:11	swd1
18	0:45:16	swd2
19	0:47:57	swd1
20	0:48:00	swd2
21	1:01:26	swd1
22	1:01:35	swd2
23	1:02:13	swd1
24	1:02:17	swd2
25	1:02:55	swd1
26	1:02:57	swd2
27	1:03:07	ds1
28	1:08:51	ds2
29	1:08:57	is1
30	1:09:34	is2
31	1:10:24	ds1
32	1:12:54	ds2
33	1:13:56	swd1
34	1:13:59	swd2
35	1:14:14	ds1
36	1:20:36	ds2
37	1:20:38	is1
38	1:20:52	is2
39	1:23:10	ds1
40	1:23:46	ds2
41	1:23:47	is1
42	1:24:07	is2
43	1:26:23	ds1
44	1:30:13	ds2
45	1:30:20	is1
46	1:30:37	is2
47	1:32:49	ds1
48	1:36:18	ds2
49	1:38:05	ds1
50	1:44:33	ds2
51	1:44:39	is1
52	1:45:12	is2
53	1:45:23	ds1
54	1:47:30	ds2
55	1:59:47	swd1
56	1:59:51	swd2
57	2:00:27	swd1
58	2:00:29	swd2
59	2:00:55	ds1
60	2:05:40	ds2
61	2:06:52	swd1
62	2:06:55	swd2
63	2:08:01	swd1
64	2:08:04	swd2
65	2:08:45	ds1
66	2:15:36	ds2
67	2:15:40	is1
68	2:15:53	is2
69	2:20:02	ds1
70	2:22:05	ds2
71	2:22:10	is1
72	2:22:31	is2
73	2:24:07	ds1
74	2:25:47	ds2
75	2:32:52	ds1
76	2:34:31	ds2
77	2:36:03	ds1
78	2:43:24	dds2
79	2:43:33	is1
80	2:43:58	is2
81	2:44:51	ds1
82	2:48:51	ds2
83	2:57:44	is1
84	2:58:03	is2
85	3:00:22	is1
86	3:00:34	is2
87	3:30:17	swd1
88	3:30:26	swd2
89	3:31:14	swd1
90	3:31:20	swd2
91	3:31:22	swd1
92	3:31:24	swd2
93	3:31:27	swd1
94	3:31:29	swd2
95	3:31:45	swd1
96	3:31:48	swd2
97	3:31:54	swd1
98	3:31:56	swd2
99	3:32:11	swd1
100	3:32:13	swd2
101	3:32:33	swd1
102	3:32:39	swd2
103	3:36:04	swd1
104	3:36:10	swd2
105	3:36:33	swd1
106	3:36:36	swd2
107	3:37:58	swd1
108	3:38:04	swd2
109	3:40:23	swd1
110	3:40:26	swd2
111	3:43:43	swd1
112	3:43:49	swd2
113	3:54:00	swd1
114	3:54:07	swd2
115	4:01:08	swd1
116	4:01:13	swd2
117	4:05:38	swd1
118	4:05:42	swd2
119	4:09:30	swd1
120	4:09:34	swd2
121	4:12:29	swd1
122	4:12:32	swd2
123	4:13:22	ds1
124	4:22:01	ds2
125	4:22:12	is1
126	4:22:22	is2
127	4:24:10	ds1
128	4:25:05	ds2
129	4:29:04	ds1
130	4:31:06	ds2
131	4:39:35	swd1
132	4:39:46	swd2
133	4:40:57	swd1
134	4:41:01	swd2
135	4:42:01	swd1
136	4:42:10	swd2
137	4:43:15	swd1
138	4:43:18	swd2
139	4:43:50	swd1
140	4:43:54	swd2
141	4:46:49	swd1
142	4:46:57	swd2
143	4:56:20	swd1
144	4:56:26	swd2
145	4:57:06	swd1
146	4:57:12	swd2
147	4:58:53	swd1
148	4:58:58	swd2
149	5:00:04	swd1
150	5:00:08	swd2
151	5:00:44	swd1
152	5:00:50	swd2
153	5:01:51	swd1
154	5:01:55	swd2
155	5:02:58	swd1
156	5:03:06	swd2
157	5:03:14	swd1
158	5:03:21	swd2
159	5:03:42	swd1
160	5:03:46	swd2
161	5:10:13	swd1
162	5:10:24	swd2
163	5:17:01	swd1
164	5:17:06	swd2
165	5:17:18	swd1
166	5:17:22	swd2
167	5:19:55	swd1
168	5:20:03	swd2
169	5:21:12	swd1
170	5:21:21	swd2
171	5:22:12	swd1
172	5:22:14	swd2
173	5:34:40	swd1
174	5:34:49	swd2
175	5:43:25	swd1
176	5:43:34	swd2
177	5:43:51	swd1
178	5:43:56	swd2
179	5:44:04	swd1
180	5:44:09	swd2
181	5:45:10	swd1
182	5:45:12	swd2
