NN	время	маркер	маркер, c
1	swd1	0:01:05	65,0292397
2	swd2	0:01:14	73,4502923
3	swd1	0:01:26	86
4	swd2	0:01:37	96,5146198
5	swd1	0:01:42	101,9649122
6	swd2	0:01:46	105,4385964
7	swd1	0:01:51	110
8	swd2	0:01:55	114,3391812
9	swd1	0:01:57	116,5204678
10	swd2	0:02:01	120,3918128
11	swd1	0:02:30	149
12	swd2	0:02:36	154,9649122
13	swd1	0:02:39	158,6023391
14	swd2	0:02:45	164,0760233
15	swd1	0:02:55	174
16	swd2	0:03:02	180,9181286
17	swd1	0:03:11	190
18	swd2	0:03:14	193,4561403
19	swd1	0:04:01	240,2807017
20	swd2	0:04:09	248
21	swd1	0:04:17	255,3567251
22	swd2	0:04:28	266,6842105
23	ds1	0:05:13	311,4853801
24	ds2	0:45:04	2691,859649
25	swd1	0:46:26	2772,660819
26	swd2	0:46:32	2779
27	swd1	0:46:49	2795,94152
28	swd2	0:46:54	2801,415205
29	swd1	0:46:59	2805,54386
30	swd2	0:47:02	2808,491
31	swd1	0:48:03	2870
32	swd2	0:48:12	2878,251462
33	swd1	0:48:53	2919,672515
34	swd2	0:49:00	2926
35	swd1	0:57:17	3421
36	swd2	0:57:25	3428,555556
37	swd1	0:57:35	3438,695906
38	swd2	0:57:37	3440,508772
39	swd1	0:57:37	3441,403509
40	swd2	0:57:39	3443,204678
41	ds1	1:06:10	3952
42	ds2	1:17:45	4643,397661
43	ds1	1:20:52	4830
44	ds2	2:40:02	9558
45	sdw1	2:41:12	9626,754386
46	swd2	2:41:17	9632
47	swd1	2:42:11	9686,239766
48	swd2	2:42:17	9691,80117
49	swd1	2:48:53	10086
50	swd2	2:49:01	10093,80117
51	swd1	2:49:32	10124,91813
52	swd2	2:49:41	10134
53	swd1	2:50:30	10183,04678
54	swd2	2:50:34	10187
55	swd1	2:50:42	10195
56	swd2	2:50:47	10200
57	swd1	2:50:51	10204
58	swd2	2:51:02	10214,25731
59	swd1	2:51:30	10242
60	swd2	2:51:57	10269,66082
61	swd1	2:52:24	10296
62	swd2	2:52:28	10300
63	swd1	2:52:59	10330,62573
64	swd2	2:53:05	10336,63743
65	swd1	2:55:24	10474,91813
66	swd2	2:55:28	10478,85965
67	ds1	2:55:34	10485
68	ds2	3:15:29	11675
69	swd1	3:17:39	11804,38012
70	swd2	3:17:42	11807,46199
71	swd1	3:17:47	11811,74269
72	swd2	3:17:53	11818,39181
73	swd1	3:19:20	11904,88304
74	swd2	3:19:31	11915,2807
75	swd1	3:20:49	11993
76	swd2	3:20:59	12002,81287
77	swd1	3:22:34	12098
78	swd2	3:22:40	12103,81287
79	swd1	3:24:58	12240,61988
80	swd2	3:25:03	12245,7193
81	swd1	3:27:40	12402
82	swd2	3:27:45	12407,03509
83	ds1	3:28:50	12472
84	ds2	3:30:36	12577,55556
85	ds1	3:34:17	12796,98246
86	ds2	3:34:22	12802,55556
87	swd1	3:34:35	12815
88	swd2	3:34:39	12819,67251
89	swd1	3:34:44	12824,68421
90	swd2	3:34:50	12830,81287
91	swd1	3:35:30	12870,08187
92	swd2	3:35:34	12874,40351
93	swd1	3:35:41	12881,09357
94	swd2	3:35:46	12885,57895
95	swd1	3:37:45	13005
96	swd2	3:37:54	13013,45029
97	swd1	3:38:25	13044
98	swd2	3:38:33	13052
99	swd1	3:43:58	13375,78363
100	swd2	3:44:00	13378
101	swd1	3:44:46	13424
102	swd2	3:44:49	13427
103	swd1	3:45:58	13495
104	swd2	3:46:06	13503
105	swd1	3:46:08	13505,25146
106	swd2	3:46:11	13508,40936
107	swd1	3:46:20	13517,02924
108	swd2	3:46:27	13524,44444
109	swd1	3:48:40	13656,2924
110	swd2	3:48:46	13662,84211
111	swd1	3:48:55	13671,83626
112	swd2	3:49:01	13676,88889
113	swd1	3:49:36	13712
114	swd2	3:49:42	13718,53216
115	swd1	3:51:00	13795,78363
116	swd2	3:51:01	13797
117	swd1	3:51:06	13801,31579
118	swd2	3:51:14	13809,63158
119	swd1	3:52:44	13899,45614
120	swd2	3:52:46	13901,5614
121	swd1	3:53:11	13926
122	swd2	3:53:21	13935,72515
123	swd1	3:53:24	13939
124	swd2	3:53:33	13948,56725
125	swd1	3:53:37	13952
126	swd2	3:53:40	13954,88304
127	swd1	3:53:45	13959,97076
128	swd2	3:53:52	13966,84795
