NN	время	маркер
1	0:01:05	swd1
2	0:01:14	swd2
3	0:01:26	swd1
4	0:01:37	swd2
5	0:01:42	swd1
6	0:01:46	swd2
7	0:01:51	swd1
8	0:01:55	swd2
9	0:01:57	swd1
10	0:02:01	swd2
11	0:02:30	swd1
12	0:02:36	swd2
13	0:02:39	swd1
14	0:02:45	swd2
15	0:02:55	swd1
16	0:03:02	swd2
17	0:03:11	swd1
18	0:03:14	swd2
19	0:04:01	swd1
20	0:04:09	swd2
21	0:04:17	swd1
22	0:04:28	swd2
23	0:05:13	ds1
24	0:45:04	ds2
25	0:46:26	swd1
26	0:46:32	swd2
27	0:46:49	swd1
28	0:46:54	swd2
29	0:46:59	swd1
30	0:47:02	swd2
31	0:48:03	swd1
32	0:48:12	swd2
33	0:48:53	swd1
34	0:49:00	swd2
35	0:57:17	swd1
36	0:57:25	swd2
37	0:57:35	swd1
38	0:57:37	swd2
39	0:57:37	swd1
40	0:57:39	swd2
41	1:06:10	ds1
42	1:17:45	ds2
43	1:20:52	ds1
44	2:40:02	ds2
45	2:41:12	sdw1
46	2:41:17	swd2
47	2:42:11	swd1
48	2:42:17	swd2
49	2:48:53	swd1
50	2:49:01	swd2
51	2:49:32	swd1
52	2:49:41	swd2
53	2:50:30	swd1
54	2:50:34	swd2
55	2:50:42	swd1
56	2:50:47	swd2
57	2:50:51	swd1
58	2:51:02	swd2
59	2:51:30	swd1
60	2:51:57	swd2
61	2:52:24	swd1
62	2:52:28	swd2
63	2:52:59	swd1
64	2:53:05	swd2
65	2:55:24	swd1
66	2:55:28	swd2
67	2:55:34	ds1
68	3:15:29	ds2
69	3:17:39	swd1
70	3:17:42	swd2
71	3:17:47	swd1
72	3:17:53	swd2
73	3:19:20	swd1
74	3:19:31	swd2
75	3:20:49	swd1
76	3:20:59	swd2
77	3:22:34	swd1
78	3:22:40	swd2
79	3:24:58	swd1
80	3:25:03	swd2
81	3:27:40	swd1
82	3:27:45	swd2
83	3:28:50	ds1
84	3:30:36	ds2
85	3:34:17	ds1
86	3:34:22	ds2
87	3:34:35	swd1
88	3:34:39	swd2
89	3:34:44	swd1
90	3:34:50	swd2
91	3:35:30	swd1
92	3:35:34	swd2
93	3:35:41	swd1
94	3:35:46	swd2
95	3:37:45	swd1
96	3:37:54	swd2
97	3:38:25	swd1
98	3:38:33	swd2
99	3:43:58	swd1
100	3:44:00	swd2
101	3:44:46	swd1
102	3:44:49	swd2
103	3:45:58	swd1
104	3:46:06	swd2
105	3:46:08	swd1
106	3:46:11	swd2
107	3:46:20	swd1
108	3:46:27	swd2
109	3:48:40	swd1
110	3:48:46	swd2
111	3:48:55	swd1
112	3:49:01	swd2
113	3:49:36	swd1
114	3:49:42	swd2
115	3:51:00	swd1
116	3:51:01	swd2
117	3:51:06	swd1
118	3:51:14	swd2
119	3:52:44	swd1
120	3:52:46	swd2
121	3:53:11	swd1
122	3:53:21	swd2
123	3:53:24	swd1
124	3:53:33	swd2
125	3:53:37	swd1
126	3:53:40	swd2
127	3:53:45	swd1
128	3:53:52	swd2
129	3:54:12	swd1
130	3:54:15	swd2
131	3:54:18	swd1
132	3:54:23	swd2
133	3:54:30	swd1
134	3:54:36	swd2
135	3:54:37	swd1
136	3:54:42	swd2
137	3:54:47	swd1
138	3:54:52	swd2
139	3:55:13	swd1
140	3:55:16	swd2
141	3:56:03	swd1
142	3:56:08	swd2
143	3:56:12	swd1
144	3:56:16	swd2
145	3:56:20	swd1
146	3:56:26	swd2
147	3:56:29	swd1
148	3:56:33	swd2
149	3:56:36	swd1
150	3:56:44	swd2
151	3:56:52	swd1
152	3:56:57	swd2
153	3:57:30	swd1
154	3:57:42	swd2
155	3:57:49	swd1
156	3:57:56	swd1
157	3:58:01	swd1
158	3:58:06	swd2
159	3:58:19	swd1
160	3:58:23	swd2
161	3:58:38	swd1
162	3:58:47	swd2
163	3:58:52	swd1
164	3:59:01	swd2
165	3:59:14	swd1
166	3:59:18	swd2
167	3:59:37	swd1
168	3:59:46	swd2
169	3:59:51	swd1
170	3:59:57	swd2
171	4:00:07	swd1
172	4:00:15	swd2
173	4:00:28	swd1
174	4:00:38	swd2
175	4:00:45	swd1
176	4:00:53	swd2
177	4:00:56	swd1
178	4:00:58	swd2
179	4:06:50	swd1
180	4:07:08	swd2
181	4:07:19	swd1
182	4:07:24	swd2
183	4:11:33	swd1
184	4:11:42	swd2
185	4:11:44	swd1
186	4:11:50	swd2
187	4:12:00	swd1
188	4:12:07	swd2
189	4:12:13	swd1
190	4:12:19	swd2
191	4:12:26	swd1
192	4:12:33	swd2
193	4:12:40	swd1
194	4:12:52	swd2
195	4:16:13	swd1
196	4:16:17	swd2
197	4:19:56	swd1
198	4:20:01	swd2
199	4:20:03	swd1
200	4:20:06	swd2
201	4:20:21	swd1
202	4:20:24	swd2
203	4:20:46	swd1
204	4:20:49	swd2
205	4:24:04	swd1
206	4:24:13	swd2
207	4:24:20	swd1
208	4:24:30	swd2
209	4:24:36	swd1
210	4:24:40	swd2
211	4:24:44	swd1
212	4:24:48	swd2
213	4:27:22	ds1
214	4:33:42	ds2
215	4:34:49	swd1
216	4:35:04	swd2
217	4:35:35	ds1
218	4:51:36	ds2
219	4:53:29	swd1
220	4:53:33	swd2
221	4:54:47	swd1
222	4:54:55	swd2
223	4:55:03	swd1
224	4:55:08	swd2
225	4:58:00	swd1
226	4:58:04	swd2
227	4:58:43	swd1
228	4:58:48	swd2
229	4:59:01	swd1
230	4:59:09	swd2
231	4:59:10	swd1
232	4:59:13	swd2
233	4:59:38	swd1
234	4:59:43	swd2
235	4:59:45	swd1
236	4:59:54	swd2
237	4:59:57	swd1
238	5:00:03	swd2
239	5:00:08	swd1
240	5:00:13	swd2
241	5:00:17	swd1
242	5:00:20	swd2
243	5:00:30	swd1
244	5:00:35	swd2
245	5:00:58	swd1
246	5:01:01	swd2
247	5:01:08	swd1
248	5:01:12	swd2
249	5:01:34	swd1
250	5:01:37	swd2
251	5:03:45	swd1
252	5:03:51	swd2
253	5:04:01	swd1
254	5:04:10	swd2
255	5:04:20	swd1
256	5:04:26	swd2
257	5:04:35	swd1
258	5:04:39	swd2
259	5:04:48	swd1
260	5:04:53	swd2
261	5:05:41	swd1
262	5:05:44	swd2
263	5:05:50	swd1
264	5:05:55	swd2
265	5:06:01	swd1
266	5:06:07	swd2
267	5:06:44	swd1
268	5:06:47	swd2
269	5:06:52	swd1
270	5:06:56	swd2
271	5:07:07	swd1
272	5:07:11	swd2
273	5:07:14	swd1
274	5:07:17	swd2
275	5:07:19	swd1
276	5:07:21	swd2
277	5:07:24	swd1
278	5:07:28	swd2
279	5:08:33	swd1
280	5:08:38	swd2
281	5:08:46	swd1
282	5:08:51	swd2
283	5:08:59	swd1
284	5:09:07	swd2
285	5:09:25	swd1
286	5:09:30	swd2
287	5:09:43	swd1
288	5:09:48	swd2
289	5:10:12	swd1
290	5:10:17	swd2
291	5:10:21	swd1
292	5:10:26	swd2
293	5:10:59	swd1
294	5:11:05	swd2
295	5:11:09	swd1
296	5:11:14	swd2
297	5:11:20	swd1
298	5:11:25	swd2
299	5:11:30	swd1
300	5:11:33	swd2
301	5:11:39	swd1
302	5:11:42	swd2
303	5:11:52	swd1
304	5:11:57	swd2
305	5:12:02	swd1
306	5:12:05	swd2
307	5:13:09	swd1
308	5:13:15	swd2
309	5:13:24	swd1
310	5:13:27	swd2
311	5:13:32	swd1
312	5:13:37	swd2
313	5:13:46	swd1
314	5:13:52	swd2
