,FrL,FrR,OcR,target
0,0.076875,0.15106250000000002,0.0494375,0
1,0.0504375,0.133375,0.0284375,0
2,0.0314375,0.1228125,0.0170625,0
3,0.03175,0.1095,0.0073125,0
4,0.029750000000000002,0.106625,-0.0368125,0
5,0.02875,0.0901875,-0.066,0
6,0.0553125,0.1121875,-0.010812500000000001,0
7,0.0706875,0.122625,-0.003125,0
8,0.0833125,0.117125,-0.00675,0
9,0.0686875,0.0970625,-0.029437500000000002,0
10,0.0556875,0.064875,-0.059187500000000004,0
11,0.06368750000000001,0.050625,-0.00775,0
12,0.0470625,0.0378125,0.025812500000000002,0
13,0.0248125,0.0271875,0.064875,0
14,-0.0065625,0.0054375000000000005,0.1173125,0
15,-0.02825,0.000875,0.150125,0
16,-0.0286875,-0.003625,0.183375,0
17,-0.03025,-0.0380625,0.2036875,0
18,-0.0375,-0.0850625,0.2038125,0
19,-0.033125,-0.078,0.2454375,0
20,-0.0306875,-0.0449375,0.2768125,0
21,-0.0203125,-0.014125,0.3015,0
22,-0.0340625,0.01025,0.3399375,0
23,-0.0401875,0.0425,0.33075,0
24,-0.0208125,0.089125,0.3184375,0
25,0.00975,0.1305625,0.3176875,0
26,0.03725,0.1704375,0.3019375,0
27,0.0820625,0.19275,0.3023125,0
28,0.132875,0.22125,0.2753125,0
29,0.204375,0.2431875,0.204875,0
30,0.222,0.24306250000000001,0.15325,0
31,0.2288125,0.22362500000000002,0.0810625,0
32,0.20575000000000002,0.1901875,0.0233125,0
33,0.18575,0.164625,-0.0276875,0
34,0.14956250000000001,0.13825,-0.076375,0
35,0.147375,0.12725,-0.082,0
36,0.1294375,0.10925,-0.0774375,0
37,0.095875,0.07037500000000001,-0.100375,0
38,0.064875,0.0398125,-0.074125,0
39,0.0126875,0.00775,-0.0560625,0
40,-0.054125,-0.0406875,-0.037,0
41,-0.114375,-0.0664375,-0.0105625,0
42,-0.1670625,-0.0529375,-0.010937500000000001,0
43,-0.1775625,-0.032,0.002,0
44,-0.1685,-0.008937500000000001,0.010375,0
45,-0.1555,-0.0618125,0.0051875,0
46,-0.16325,-0.2721875,0.0099375,0
47,-0.155375,-0.4363125,-0.0043125,0
48,-0.143375,-0.41781250000000003,0.0003125,0
49,-0.1463125,-0.29531250000000003,0.0025625,0
50,-0.1754375,-0.2188125,-0.032875,0
51,-0.17125,-0.17375000000000002,-0.0335625,0
52,-0.1638125,-0.18356250000000002,-0.051687500000000004,0
53,-0.1179375,-0.175375,-0.06268750000000001,0
54,-0.0760625,-0.1600625,-0.0491875,0
55,-0.0455625,-0.1034375,-0.046875,0
56,-0.024,-0.049375,-0.0451875,0
57,-0.01225,-0.0025625,-0.025,0
58,-0.017687500000000002,0.015625,-0.024625,0
59,0.0125625,0.049,-0.0025625,0
60,0.07868750000000001,0.09443750000000001,0.0018125,0
61,0.10968750000000001,0.114625,-0.0463125,0
62,0.114,0.110375,-0.0716875,0
63,0.0975625,0.09531250000000001,-0.09,0
64,0.07087500000000001,0.0878125,-0.07075000000000001,0
65,0.053125,0.0693125,-0.043000000000000003,0
66,0.017687500000000002,0.04925,-0.0305,0
67,0.011,0.0500625,0.00575,0
68,0.0198125,0.0366875,0.058125,0
69,0.0323125,0.0240625,0.11912500000000001,0
70,0.00925,-0.001375,0.1555625,0
71,-0.0113125,-0.018875,0.1455625,0
72,-0.0201875,-0.0284375,0.1520625,0
73,-0.02325,-0.05025,0.1706875,0
74,-0.035312500000000004,-0.07125000000000001,0.170375,0
75,-0.0306875,-0.11118750000000001,0.18787500000000001,0
76,-0.025937500000000002,-0.13293750000000001,0.1943125,0
77,-0.04675,-0.1645625,0.1670625,0
78,-0.060375,-0.1780625,0.152125,0
79,-0.06975,-0.1921875,0.105125,0
80,-0.075875,-0.2134375,0.059312500000000004,0
81,-0.074875,-0.2285,0.0098125,0
82,-0.08662500000000001,-0.22743750000000001,-0.048375,0
83,-0.082375,-0.201375,-0.0828125,0
84,-0.0643125,-0.17250000000000001,-0.1038125,0
85,-0.0655,-0.16468750000000001,-0.1424375,0
86,-0.074625,-0.1768125,-0.1491875,0
87,-0.039875,-0.1556875,-0.17125,0
88,-0.0344375,-0.1553125,-0.189,0
89,-0.023125,-0.1571875,-0.1899375,0
90,-0.02725,-0.14025,-0.215125,0
91,-0.038,-0.1338125,-0.21275,0
92,-0.0265625,-0.11725000000000001,-0.19275,0
93,-0.022875,-0.12225,-0.2064375,0
94,-0.033,-0.146,-0.219,0
95,-0.053375,-0.1445625,-0.244125,0
96,-0.059687500000000004,-0.1703125,-0.26,0
97,-0.084125,-0.182875,-0.2583125,0
98,-0.098875,-0.21962500000000001,-0.27368750000000003,0
99,-0.1133125,-0.2139375,-0.2675625,0
100,-0.1068125,-0.21825,-0.26875,0
101,-0.08275,-0.1916875,-0.2666875,0
102,-0.0530625,-0.1620625,-0.24281250000000001,0
103,-0.0316875,-0.13625,-0.2523125,0
104,-0.0046875,-0.1049375,-0.255125,0
105,-0.003875,-0.09468750000000001,-0.258375,0
106,-0.009875,-0.0879375,-0.27718750000000003,0
107,0.0040625,-0.084875,-0.2531875,0
108,0.002875,-0.0826875,-0.2451875,0
109,-0.0159375,-0.0748125,-0.25956250000000003,0
110,-0.0608125,-0.0915625,-0.2613125,0
111,-0.0923125,-0.10250000000000001,-0.268125,0
112,-0.097125,-0.0974375,-0.2564375,0
113,-0.065875,-0.045125,-0.2328125,0
114,-0.039875,-0.005875,-0.2339375,0
115,-0.021125,0.0276875,-0.212875,0
116,0.0091875,0.065,-0.183375,0
117,0.020125,0.08575,-0.1668125,0
118,0.035687500000000004,0.09518750000000001,-0.13,0
119,0.0615625,0.0910625,-0.129375,0
120,0.07112500000000001,0.0769375,-0.1426875,0
121,0.0715625,0.06525,-0.143625,0
122,0.07725,0.083875,-0.159,0
123,0.0743125,0.1025625,-0.1311875,0
124,0.06625,0.110125,-0.115625,0
125,0.053875,0.10925,-0.12075,0
126,0.0425625,0.1130625,-0.088625,0
127,0.072625,0.1250625,-0.079,0
128,0.131125,0.1291875,-0.0575,0
129,0.1626875,0.1404375,-0.035500000000000004,0
130,0.173875,0.18887500000000002,-0.007875,0
131,0.201,0.218125,0.0395,0
132,0.226875,0.2454375,0.039,0
133,0.26587500000000003,0.26475,-0.0618125,0
134,0.31193750000000003,0.2934375,-0.109375,0
135,0.3090625,0.3061875,-0.1494375,0
136,0.217625,0.282375,-0.14175000000000001,0
137,0.10475,0.2081875,-0.0751875,0
138,0.0675,0.11900000000000001,-0.042625,0
139,0.0619375,0.058875000000000004,0.019375,0
140,0.043312500000000004,-0.0058125,0.03075,0
141,-0.05225,-0.0365625,0.0486875,0
142,-0.1366875,-0.073875,0.0921875,0
143,-0.12737500000000002,-0.1234375,0.0813125,0
144,-0.064625,-0.10312500000000001,0.1040625,0
145,-0.0086875,-0.0611875,0.1335625,0
146,0.043250000000000004,-0.00575,0.1275,0
147,0.1025625,0.0601875,0.109,0
148,0.15156250000000002,0.147125,0.145625,0
149,0.186125,0.244125,0.1746875,0
150,0.227125,0.296375,0.213,0
151,0.2411875,0.33918750000000003,0.197625,0
152,0.263,0.38,0.1698125,0
153,0.256625,0.3964375,0.173125,0
154,0.265375,0.4141875,0.16325,0
155,0.271125,0.4205,0.1706875,0
156,0.278375,0.4239375,0.1799375,0
157,0.304625,0.433,0.1946875,0
158,0.320625,0.419625,0.21125,0
159,0.3320625,0.4015625,0.1929375,0
160,0.37225,0.39106250000000004,0.183625,0
161,0.334,0.3514375,0.162875,0
162,0.275375,0.331,0.1268125,0
163,0.2180625,0.316375,0.1078125,0
164,0.20725000000000002,0.284625,0.093,0
165,0.179625,0.28025,0.07931250000000001,0
166,0.201,0.2891875,0.07868750000000001,0
167,0.211125,0.27918750000000003,0.0486875,0
168,0.2405625,0.2995,0.0266875,0
169,0.2694375,0.316375,0.0321875,0
170,0.2788125,0.313625,0.0539375,0
171,0.2894375,0.3075625,0.0823125,0
172,0.272625,0.319,0.1288125,0
173,0.23775000000000002,0.338625,0.1483125,0
174,0.2231875,0.3334375,0.1716875,0
175,0.2256875,0.344875,0.1910625,0
176,0.21425,0.3229375,0.1995625,0
177,0.202,0.2764375,0.2189375,0
178,0.16375,0.22212500000000002,0.2016875,0
179,0.13375,0.17550000000000002,0.2033125,0
180,0.099,0.1258125,0.2005,0
181,0.0485625,0.0816875,0.18131250000000002,0
182,0.0065625,0.0524375,0.1898125,0
183,-0.0285625,0.0406875,0.1694375,0
184,-0.0604375,0.038,0.15625,0
185,-0.078875,0.029687500000000002,0.168125,0
186,-0.0981875,0.0186875,0.167625,0
187,-0.14075000000000001,-0.029562500000000002,0.1605625,0
188,-0.17625,-0.058625000000000003,0.14981250000000002,0
189,-0.1949375,-0.0753125,0.13568750000000002,0
190,-0.1909375,-0.081125,0.12425,0
191,-0.180875,-0.0731875,0.09125,0
192,-0.186375,-0.0838125,0.043062500000000004,0
193,-0.1819375,-0.089,0.0190625,0
194,-0.169875,-0.0924375,-0.0221875,0
195,-0.1465,-0.075125,-0.0236875,0
196,-0.143125,-0.0873125,-0.051437500000000004,0
197,-0.154375,-0.1223125,-0.07831250000000001,0
198,-0.192375,-0.168625,-0.08375,0
199,-0.20525000000000002,-0.2020625,-0.11018750000000001,0
200,-0.21075,-0.224375,-0.1345,0
201,-0.196,-0.21025,-0.11737500000000001,0
202,-0.20400000000000001,-0.2089375,-0.1186875,0
